sample_index,true_dust_mg_m3,common_gain,dual_color_raw_mg_m3,dual_color_filtered_mg_m3,single_color_raw_mg_m3,single_color_filtered_mg_m3
75,44.26400665308822,1.0469610287153293,43.22017407207477,42.39287994388667,35.73519221326009,36.3906223359834
76,43.963747002534184,1.0433959322395194,44.32665943898166,43.96561993694063,35.99590101548586,36.64405179153103
77,43.671073045688814,1.040223868760319,46.74257005733656,44.010317793876396,38.822816014877034,37.190047308982514
78,43.4440781104525,1.037420781242434,44.24607822843374,43.50393643371312,37.75065354213317,37.72887736220254
79,43.339359165753066,1.0349158234052855,41.516107172555245,43.08524670962965,37.645673759156395,38.32129639263293
80,43.40940809151828,1.0325975319109646,40.68826727125844,41.76427161383201,38.429342479360216,38.331380741295476
81,43.70016545709896,1.0303224484093463,42.23321081856427,42.588891722550805,38.95799616763785,38.98833388706206
82,44.24883878906515,1.0279256989249295,40.137694578348345,43.3084804224362,38.873237758189745,39.7089828096128
83,45.082076504019184,1.0252329300848093,48.36917877202772,45.19108044410821,41.03541927096611,41.17634189051266
84,46.21457413261167,1.0220729263948927,45.11405067198221,46.427651666330455,41.24891837191007,43.00746904593932
85,47.64817176289295,1.0182901942538163,50.1012673796185,48.74904002039343,45.766137883859514,45.22290231851356
86,49.37148150904728,1.0137567987466207,48.41606692967549,50.22519369219181,48.11363194477114,47.31118928904696
87,51.36006208930622,1.0083827784793167,51.744636348663235,52.72751900011531,49.950404121061,50.409180965554654
88,53.57713516388066,1.0021245396980414,55.74994713101963,54.92811019474677,51.476854123633075,53.268389885552004
89,55.97481585870052,0.994990739593453,57.625677211599694,57.38077104104698,56.73887675444854,56.76762917802573
90,58.49580879378791,0.9870453041675874,61.104223352775826,59.9105420600667,60.06218248384629,60.55226206307198
91,61.07550181067797,0.978407381031798,60.67937116117654,62.30005435810515,65.60982840713977,64.78488725112076
92,63.64437323481015,0.9692481936495178,64.39349144376182,63.63815037729412,68.87356854629219,68.68210010615904
93,66.13061558642953,0.9597849318698879,67.69750862121185,64.86280580882824,72.63998006387702,72.85814904792359
94,68.46286969684284,0.9502719750293018,64.31615730754456,67.7761441841395,76.22494102963992,76.63603675995918
95,70.57295856313789,0.9409898897072584,67.2275005104464,70.9766321475102,80.94242719266903,80.28800714482573
96,72.39851017363729,0.9322327665287164,75.24606303773291,71.96404320177783,84.49926696731777,83.78562475194164
97,73.88536296323231,0.9242945525890759,80.39593126061528,73.88254786186371,87.13342047062487,86.77883955006695
98,74.98965633182479,0.9174550931423257,72.63456389254996,76.13822069347594,90.12806809945668,89.06236537887985
99,75.67952142195581,0.9119666150305021,73.908680607974,76.04278504555046,91.19101502026642,90.84712403497039
100,75.93630358160935,0.9080413638943095,78.50586466850756,74.88470568785371,92.36005633673352,91.88208042173325
101,75.75526697153066,0.9058410485566302,74.76888479810542,75.05403627974695,93.42306024777048,91.93223064217545
102,75.14575283482492,0.9054686522367481,74.60553447213167,75.60549794384943,92.30820240443914,91.73524424825456
103,74.13078516884609,0.906963046447542,73.48121685201612,73.76988377761015,90.37881920166775,90.52185683673395
104,72.74614001656086,0.9102966961848615,76.66598892848636,72.85303979047634,90.20608305066187,88.63863550433466
105,71.03891640736303,0.915376582234886,69.32779383731118,72.31918570068198,86.29311927913045,85.86857891837744
