wavelength_nm,blue_pilot_normalized_power,green_data_normalized_power,red_pilot_normalized_power
549.0,1.3106057831509317e-19,0.7182931329003512,3.277913111581051e-17
550.0,5.42101086242753e-20,0.6930706741343035,6.475536993156416e-17
551.0,2.2224668462506137e-20,0.6675091435621704,1.2713886142617462e-16
552.0,9.031026584720402e-21,0.641712948781452,2.480875811610649e-16
553.0,3.637355643549656e-21,0.6157838209576849,4.811227681928709e-16
554.0,1.4520488531870052e-21,0.5898201877581899,9.273228730554347e-16
555.0,5.745442808679718e-22,0.563916600679532,1.776356839400265e-15
556.0,2.2532667067316254e-22,0.5381632207312329,3.381844470076266e-15
557.0,8.758878655449286e-23,0.5126453655432613,6.398839641904642e-15
558.0,3.37466941675316e-23,0.4874431200635944,1.2032974614762216e-14
559.0,1.2887265555627981e-23,0.46263101211944496,2.248893825910639e-14
560.0,4.8779476569076904e-24,0.4382777532455839,4.1772366679299685e-14
561.0,1.8300388517838784e-24,0.4144460443484613,7.71140280134931e-14
562.0,6.80503401083817e-25,0.391192444987251,1.4148222268794215e-13
563.0,2.508113041199421e-25,0.3685673043227753,2.579850483115976e-13
564.0,9.162431243642195e-26,0.3466147511212394,4.67532039081593e-13
565.0,3.3175781878515594e-26,0.3253727396089221,8.420781453308278e-13
566.0,1.1906343871372477e-26,0.30487314746182315,1.507362103503241e-12
567.0,4.235283554391227e-27,0.28514192178448117,2.681680084226364e-12
568.0,1.4932529397077552e-27,0.266199268586775,4.741552009749781e-12
569.0,5.2183244867157455e-28,0.24805988100691978,8.332172422425762e-12
570.0,1.8074887363782194e-28,0.2307332013519658,1.455191522836691e-11
571.0,6.205359320053154e-29,0.21422371193137119,2.5258423551383606e-11
572.0,2.1115680643037674e-29,0.19853124964086516,4.357290394985968e-11
573.0,7.121804567457426e-30,0.18365133930792957,7.470521945290431e-11
574.0,2.380794083982512e-30,0.16957554093095895,1.272944780781946e-10
575.0,7.888609052210105e-31,0.15629180612489096,2.155720052046913e-10
576.0,2.5907520386288558e-31,0.14378483931962052,3.6282678118930323e-10
577.0,8.433310286206866e-32,0.1320364595362343,6.069186572479734e-10
578.0,2.7209284814299084e-32,0.12102595888217667,1.0089875755612194e-09
579.0,8.701276908093833e-33,0.1107304542520131,1.6671141068040905e-09
580.0,2.7580089361240468e-33,0.10112522908770041,2.737593822694578e-09
581.0,8.6647325923394e-34,0.09218406243364984,4.467832426667326e-09
582.0,2.6981213315789807e-34,0.08387954291022065,7.24684407869198e-09
583.0,8.327499262072911e-35,0.07618336561789123,1.1682213432554424e-08
584.0,2.547502074218255e-35,0.0690666103670859,1.871653856878443e-08
585.0,7.724338648495368e-36,0.0625,2.98023223876953e-08
586.0,2.321426197978088e-36,0.05645413792592453,4.716272184796165e-08
587.0,6.915049174907336e-37,0.05089972432644025,7.417743156861554e-08
588.0,2.0416555822474646e-37,0.04580775079804313,1.1594950525907111e-07
589.0,5.974705512201072e-38,0.04114967348464234,1.8013171589635402e-07
590.0,1.7329951365169102e-38,0.03689756500899438,2.7812219609644865e-07
591.0,4.98224407898767e-39,0.033024245739244645,4.267812113418444e-07
592.0,1.4197094448577871e-39,0.02950339512372031,6.508772789923728e-07
593.0,4.0097819770674745e-40,0.02630964399391312,9.865454745339482e-07
594.0,1.1225064972115445e-40,0.023418648872700433,1.4861384957513797e-06
595.0,3.1146107875309116e-41,0.02080714943322417,2.224977568771594e-06
596.0,8.565752457618176e-42,0.018453010334836414,3.310672091726957e-06
597.0,2.334931110161555e-42,0.016335248717799733,4.8958812620655265e-06
598.0,6.308548406908844e-43,0.014434048669944561,7.195645560943515e-06
599.0,1.689396632218448e-43,0.012730763988373093,1.0510728722258258e-05
600.0,4.484155085839485e-44,0.01120791054983156,1.5258789062500007e-05
601.0,1.1797132051751022e-44,0.00984914957689873,2.2015648834766007e-05
602.0,3.076231912331628e-45,0.008639263046033773,3.1569455185086355e-05
603.0,7.950757756988082e-46,0.007564122430136042,4.4991126015963835e-05
604.0,2.036783115574971e-46,0.006610651904878647,6.372514260169394e-05
